jugador_entra,jugador_sale,Minuto,equipo,Jornada
"VICENS VIDAL, PAU","FOLGADO GARNICA, PAULO",79,PALMA F.C.,4
"SEGORBE GODOY, MARCOS","FRANCO SINGEORZAN, ALEX",79,PALMA F.C.,4
"BIARNES MORENO, ALEJANDRO","BURGAYA GENOVART, FERRAN",45,MALLORCA B,4
"VERD ALONSO, ABEL","AVILÉS MAESTRE, JOEL",64,MALLORCA B,4
"GARCIA LLOMPART, RAFEL","ARAQUE CARRASCOSA, AITOR",64,MALLORCA B,4
"COCA ANTELO, ANDREW","MARTINEZ BELA, JAVIER",83,MALLORCA B,4
"FRESNEDA HIDALGO, HUGO","MOLINA DONAIRE, DANIEL",89,MALLORCA B,4
"MORA GISPERT, HUGO","MASCARÓ SERVERA, JUAN",51,PLA DE NA TESA A,4
"MONTALBAN ROMERO, MILO JERONIMO","ASAMOAH ASANTEWAA, DENIS",64,PLA DE NA TESA A,4
"FERNÁNDEZ RODRÍGUEZ, IKER","FERRER FERNANDEZ, ALEJANDRO",64,PLA DE NA TESA A,4
"AIT SAID TAFZATI, NABIL","ONCALA CARAVACA, DANIEL",72,PLA DE NA TESA A,4
"MARTINEZ ESPINOSA, DENIS","ALONSO MUNICIO, PABLO",72,PLA DE NA TESA A,4
"SANS JIMENEZ, MIQUEL ANGEL","GOMEZ BLANCA, AARON",67,SP. ATº CIUTAT DE PALMA,4
"ABRAHAM BOLAÑOS, ISAAC","MARTINEZ GOMEZ, DYLAN",67,SP. ATº CIUTAT DE PALMA,4
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",75,SP. ATº CIUTAT DE PALMA,4
"CORTES MONTANER, LUIS","MUNAR LAZARO, DANIEL",83,SP. ATº CIUTAT DE PALMA,4
"GARCIA MEDRANO, MARCOS","CARDONA MARTIN, MARCOS",46,PLATGES DE CALVIA A,4
"GOMILA GAMERO, MARCOS","PAYERO MOLINA, NICOLAS",55,PLATGES DE CALVIA A,4
"HOLLINGSWORTH, HARRY RICHARD","ALCOLEA ESCORCIA, CARLOS",69,PLATGES DE CALVIA A,4
"BLANES DÍAZ, FERNANDO","SANCHIS MARTINEZ, DAVID",83,PLATGES DE CALVIA A,4
"FERRAGUT DIAZ, TONI","GARCÍA RODRÍGUEZ, UNAI",83,PLATGES DE CALVIA A,4
"RODRIGUEZ LOPEZ, RAUL","MORENO CALDENTEY, JAIME I",27,MANACOR A,4
"TRIAY PETHERAM, TOMAS ISMAEL","LAMSIAH AJGHOUF, OSSAMA",45,MANACOR A,4
"CORCHADO JIMENEZ, ISAAC","ADROVER GARRIDO, GERARD",70,MANACOR A,4
"GRAHAM, NATHAN STUART","ORTIZ CARROZA, ABRAHAM",70,MANACOR A,4
"LAKHAL ZEROUALE, SAAD","MESTRE RIBOT, PAU",89,MANACOR A,4
"RODRIGUEZ ROIG, ARIAN","TORRES RIERA, LLUC",45,U D IBIZA A,4
"MARTOS VERGARA, DANIEL","AGUILAR COSTA, MARTÍ",66,U D IBIZA A,4
"GARCIA ALBA, JAVIER","VALLS ANIORTE, TARIKU",66,U D IBIZA A,4
"CUBERO GUASCH, JOAN","RODRIGUEZ MARTOS, AARON",84,U D IBIZA A,4
"PUYA TUR, OSCAR","VIZCAINO SEGURA, ALAN",45,SD LA SALLE A,4
"GIL MASSANET, LLUIS","PETRARCA, ELIA",56,SD LA SALLE A,4
"SALMERON SEGURA, JONATHAN","ESCUERO PARDOS, MARTI",56,SD LA SALLE A,4
"COMAS HUTTEN, PAU LLUIS","AMAYA MALENO, FRANCISCO",56,SD LA SALLE A,4
"MARTI RODRIGUEZ, IVAN","FUSTER CORTES, FERNANDO",78,SD LA SALLE A,4
"LOPEZ FUXA, AARON","HASHIMOTO SEBASTIÁN, GAIZKA",30,SANTA CATALINA ATº A,4
"GARCIAS LLABRES, MIQUEL","EZ ZARY SAIDI, ISMAEL",45,SANTA CATALINA ATº A,4
"SASTRE BOTA, JAUME","MARTIN CABALLERO, ANGEL",61,SANTA CATALINA ATº A,4
"MASCARELL LLABRES, MARC","ADROVER MELIS, FRANCESC",61,SANTA CATALINA ATº A,4
"BARRIGA CATRINA, VICTOR","VICH FORTEZA, LLUC",73,SANTA CATALINA ATº A,4
"CAIMARI FIGUEROLA, JAUME","THIAM BORRAS, KARIM",46,POBLENSE A,4
"FERRER RIGO, SEBASTIÀ","GONZÁLEZ ONETO, ASSIER",61,POBLENSE A,4
"VERGER ESTRANY, TOMEU","MORAGUES MORAGUES, JOAN",72,POBLENSE A,4
"GIBSON, JASPER","RIERA MARTÍNEZ, FERRAN",72,POBLENSE A,4
"MENDEZ DUARTE, IVAN","CHICA COMAS, JUAN A",88,POBLENSE A,4
"ROMAN DE REMENTERIA, ASIER","KOUJILI EL TALHAOUI, MAROUAN",46,CONSTANCIA A,4
"CABEZAS GALLARDO, MANUEL","MARTIN MONSALVE, IAN",57,CONSTANCIA A,4
"BALLE BRUNET, JOAN","COLL AREVALO, JORDI",57,CONSTANCIA A,4
"OLIVER GELABERT, PERE","BLANCO WEBER, LUCA",73,CONSTANCIA A,4
"PATRICIO GUAL, MARC","COMPANY INGLA, JAUME",79,CONSTANCIA A,4
"CAMPS SEOANE, VICTOR","TALTAVULL VALVERDE, IAN",54,PENYA CIUTADELLA ESPORTIVA A,4
"FLORIT ANGLADA, JOSEP","PALLICER AGUILO, XAVIER",54,PENYA CIUTADELLA ESPORTIVA A,4
"FEDELICH MARQUES, JAN","AGUILAR BOSCH, DAVID",69,PENYA CIUTADELLA ESPORTIVA A,4
"PASCUAL GORNES, ENRIC","LOPEZ GONZALEZ, ALEJANDRO",79,PENYA CIUTADELLA ESPORTIVA A,4
"ARGUIMBAU ALLES, MACIA","PONCIANO BUESO, JOSEP",79,PENYA CIUTADELLA ESPORTIVA A,4
"SANCHEZ JIMENEZ, FERNANDO","SINTES DIAZ, JOAN",53,ANDRATX A,4
"RIBOT FUSTER, MARIO","DOBLAS TORRES, MIGUEL",60,ANDRATX A,4
"ALARCON FERRER, ADRIAN","LUPIAÑEZ ALEMANY, TONI",78,ANDRATX A,4
"JIMENEZ PASTOR, IKER","PATRICIO TORRRENS, JUAN",78,ANDRATX A,4
"LOPEZ MARI, PABLO","FERRER ROIG, JAUME",46,PENYA INDEPENDENT A,5
"CORDOBA TUR, MARC","FERRER TORRES, PEDRO",63,PENYA INDEPENDENT A,5
"IRUELA KLISHINA, DAVID","EL HABBOULA EL KORTOBI, ABDELMOIZE",72,PENYA INDEPENDENT A,5
"VIERA GONZALEZ, SANTIAGO","LLAMAS MARTINEZ, ERIC",87,PENYA INDEPENDENT A,5
"ROTGER LÓPEZ, LLUC","PONS CARRERAS, ANGEL",46,FERRERIES A,5
"BOSCH PULIDO, NIL","CHIMBO JAYA, BRYAN OSWALDO",52,FERRERIES A,5
"CAMPS CARETA, PERE","CANTALAPIEDRA LOBATO, IKER",61,FERRERIES A,5
"TRIAY HIERRO, TEO","FEBRER VILLALONGA, ALBERT",73,FERRERIES A,5
"CARDONA ALCANTARA, MARC","BADJINKA NDIAYE, BUBAKAR",60,SAN FRANCISCO B,5
"ALARCON CAVERO, JOEL","GIRALDE BAUZA, JAVIER",60,SAN FRANCISCO B,5
"LUNEGRO, BRUNO","CONDE PEREIRA, ALEJANDRO MANUEL",60,SAN FRANCISCO B,5
"LLEDO SAMPOL, ADRIA","SUÁREZ SERRA, ALEX",60,SAN FRANCISCO B,5
"ANDEBUELA BARRIOS, PABLO","LEDESMA COR, MATEU",65,SAN FRANCISCO B,5
"PETRARCA, ELIA","ESCUERO PARDOS, MARTI",70,SD LA SALLE A,5
"MARTI RODRIGUEZ, IVAN","ARBOS DENGRA, DIEGO",76,SD LA SALLE A,5
"SALMERON SEGURA, JONATHAN","FUSTER CORTES, FERNANDO",76,SD LA SALLE A,5
"MARCH MOLINA, MARCOS","AMAYA MALENO, FRANCISCO",89,SD LA SALLE A,5
"ALLENDES SEPULVEDA, MARTIN ALONSO","SEGORBE GODOY, MARCOS",46,PALMA F.C.,5
"JIMENEZ JARAMILLO, KARLO ANDREU","GIL GOMILA, XAYRON",46,PALMA F.C.,5
"NDIR GUEYE, MOUHAMADOUL LAMIN","PORCEL MARTINEZ, JORDI",54,PALMA F.C.,5
"MORELL SACRISTÁN, CARLOS","FERRA OSPINA, CARLES JOAN",73,PALMA F.C.,5
"BUENO BEDOLLA, BRIAN RYAN","VILLALONGA GÓMEZ, IKER",73,PALMA F.C.,5
"VAZQUEZ SUAREZ, HUGO","HERRERA IGLESIAS, ADRIAN",70,PENYA ARRABAL A,5
"PONS SERRANO, ALEIX","LEBRERO BENITEZ, HUGO",77,PENYA ARRABAL A,5
"ROTTLANDER, LENNOX MARKUS","FIOL ACEITUNO, MIQUEL",77,PENYA ARRABAL A,5
"SEGUI ESTEBAN, IAN","CRESPI BARRERA, LEONARDO",77,PENYA ARRABAL A,5
"VALLESPIR TIMONER, PERE MARC","MUÑOZ BAIXAULI, JUAN",82,PENYA ARRABAL A,5
"MONTALBAN ROMERO, MILO JERONIMO","FERNÁNDEZ RODRÍGUEZ, IKER",78,PLA DE NA TESA A,5
"MARTINEZ ESPINOSA, DENIS","CACERES COMAS, SERGI",78,PLA DE NA TESA A,5
"MESA ZAFRA, CHRISTIAN","MORA GISPERT, HUGO",84,PLA DE NA TESA A,5
"GONZÁLEZ ONETO, ASSIER","CAIMARI FIGUEROLA, JAUME",63,POBLENSE A,5
"AGUILERA PERELLO, ADRIÀ","FERRER RIGO, SEBASTIÀ",63,POBLENSE A,5
"JIMENA BELTRAN, CARLOS","GIBSON, JASPER",78,POBLENSE A,5
"TUR ESCALAS, TONI","RETTICH SOLER, JOSEP",78,POBLENSE A,5
"THIAM BORRAS, KARIM","MORAGUES MORAGUES, JOAN",86,POBLENSE A,5
"PEREZ SILVENTE, ALEJANDRO","GAYUBAS GONZALEZ, LUIS MIGUEL",46,PLATGES DE CALVIA A,5
"HOLLINGSWORTH, HARRY RICHARD","GARCÍA RODRÍGUEZ, UNAI",63,PLATGES DE CALVIA A,5
"CASAUS SANCHEZ, JOSE IGNACIO","SANCHIS MARTINEZ, DAVID",63,PLATGES DE CALVIA A,5
"PUJOL ALOMAR, TELM","ALCOLEA ESCORCIA, CARLOS",65,PLATGES DE CALVIA A,5
"BLANES DÍAZ, FERNANDO","PARRA VIZUETE, DANIEL",92,PLATGES DE CALVIA A,5
"DOBLAS TORRES, MIGUEL","JIMENEZ PASTOR, IKER",61,ANDRATX A,5
"REINECKE CABOT, MARCO","VARGAS RODRIGUEZ, NICOLAS",65,ANDRATX A,5
"LUPIAÑEZ ALEMANY, TONI","ROGEL ARRIAGA, BRYAN STALIN",65,ANDRATX A,5
"RIBOT FUSTER, MARIO","REINECKE CABOT, MARCO",86,ANDRATX A,5
"BOLIVAR PERAL, ROGER","ESPINOZA ARMIJOS, CARLOS ANDRES",55,UD MAHON,5
"MASCARO MARTINEZ, IKER","AMELLER ENRICH, LLORENÇ",55,UD MAHON,5
"GRUBAC, NOA","DE OLIVEIRA MESSIAS, KLAYVER",59,UD MAHON,5
"ELHADJ ABDOULAYE, BALDE","NGONG NGO, FABRICE",63,UD MAHON,5
"LOPEZ FERNANDEZ, MARC","SINTES MELERO, ALVARO",63,UD MAHON,5
"AVOGADRO, TOMMASO","GARCIA ALBA, JAVIER",25,U D IBIZA A,5
"RODRIGUEZ ROIG, ARIAN","ELIAS ARANDIA, SAMUEL ABEL",66,U D IBIZA A,5
"BONED GARCIA, ADRIÁ","TORRES RIERA, LLUC",72,U D IBIZA A,5
"VALLS ANIORTE, TARIKU","MARTOS VERGARA, DANIEL",72,U D IBIZA A,5
"MASCARELL LLABRES, MARC","MARTIN CABALLERO, ANGEL",65,SANTA CATALINA ATº A,5
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",65,SANTA CATALINA ATº A,5
"SASTRE BOTA, JAUME","MENDOZA SOLER, MARIO",73,SANTA CATALINA ATº A,5
"EZ ZARY SAIDI, ISMAEL","DEYÀ BELTRÁN, SEBASTIÀ",86,SANTA CATALINA ATº A,5
"ALARCON RAGO, THIAGO","GARCIAS LLABRES, MIQUEL",86,SANTA CATALINA ATº A,5
"GARCIA LLOMPART, RAFEL","AVILÉS MAESTRE, JOEL",61,MALLORCA B,5
"ARAQUE CARRASCOSA, AITOR","MARTINEZ BELA, JAVIER",61,MALLORCA B,5
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",83,MALLORCA B,5
"LAZARO TORRES, MARIO","MOLINA DONAIRE, DANIEL",87,MALLORCA B,5
"COLL AREVALO, JORDI","BALLE BRUNET, JOAN",45,CONSTANCIA A,5
"GALVEZ ESPINOZA, BRAD ANTONY","CABEZAS GALLARDO, MANUEL",62,CONSTANCIA A,5
"SABATER SANCHO, MARC","BLANCO WEBER, LUCA",62,CONSTANCIA A,5
"MARTIN MONSALVE, IAN","ROMAN DE REMENTERIA, ASIER",70,CONSTANCIA A,5
"OLIVER GELABERT, PERE","CHUKWUKERE PULLET, GREGORY IKECHUKWU",70,CONSTANCIA A,5
"KRZYZYK SERRANO, PEDRO","KEITA SIDIBE, MADY",64,SP. ATº CIUTAT DE PALMA,5
"AQUINO GUTIERREZ, DAN JOEL","KRAUSSE, IGNACIO TOMAS",71,SP. ATº CIUTAT DE PALMA,5
"CORTES MONTANER, LUIS","GOMEZ BLANCA, AARON",90,SP. ATº CIUTAT DE PALMA,5
"BARRY DIALLO, MAMADOU ALIOU","MUNAR LAZARO, DANIEL",90,SP. ATº CIUTAT DE PALMA,5
"MARTINEZ GOMEZ, DYLAN","SANCHO OLIVER, PEDRO",90,SP. ATº CIUTAT DE PALMA,5
"ARGUIMBAU ALLES, MACIA","PASCUAL GORNES, ENRIC",60,PENYA CIUTADELLA ESPORTIVA A,5
"TALTAVULL VALVERDE, IAN","PONCIANO BUESO, JOSEP",83,PENYA CIUTADELLA ESPORTIVA A,5
"CAMPS SEOANE, VICTOR","LOPEZ GONZALEZ, ALEJANDRO",89,PENYA CIUTADELLA ESPORTIVA A,5
"PALLICER AGUILO, XAVIER","FLORIT ANGLADA, JOSEP",89,PENYA CIUTADELLA ESPORTIVA A,5
"ADROVER GARRIDO, ALBERT","CORCHADO JIMENEZ, ISAAC",45,MANACOR A,5
"POSTIGO GARAT, RAUL","GUICHANDUT GOMILA, MARC",45,MANACOR A,5
"MARCOS MONGE, IKER","RODRIGUEZ LOPEZ, RAUL",45,MANACOR A,5
"MONTES CARDONA, CHRISTIAN","GRAHAM, NATHAN STUART",68,MANACOR A,5
"RODRIGUEZ GALDON, DANIEL","TRIAY PETHERAM, TOMAS ISMAEL",80,MANACOR A,5
"JANER BOSCH, NOFRE","BOSCH VALDERRABANO, TONI",48,FERRERIES A,6
"DE LA PUERTA MARTORELL, JAUME","PULIDO COLL, IZAN",48,FERRERIES A,6
"FEBRER VILLALONGA, ALBERT","PONS CARRERAS, ANGEL",58,FERRERIES A,6
"SINTES PONS, PAU","TRIAY HIERRO, TEO",61,FERRERIES A,6
"GRUBAC, NOA","MASCARO MARTINEZ, IKER",61,UD MAHON,6
"ESPINOZA ARMIJOS, CARLOS ANDRES","ELHADJ ABDOULAYE, BALDE",61,UD MAHON,6
"TEJEDOR MORENO, ALEJANDRO","SINTES MELERO, ALVARO",75,UD MAHON,6
"AMELLER ENRICH, LLORENÇ","GOMEZ GORDILLO, RAUL",83,UD MAHON,6
"LOPEZ FERNANDEZ, MARC","DE OLIVEIRA MESSIAS, EMMANUEL",83,UD MAHON,6
"SALMERON SEGURA, JONATHAN","RODRIGUEZ MONGELOS, GAEL PAU",72,SD LA SALLE A,6
"MARTI RODRIGUEZ, IVAN","ESCUERO PARDOS, MARTI",85,SD LA SALLE A,6
"SANCHEZ LAFUENTE, ARITZ","FUSTER CORTES, FERNANDO",85,SD LA SALLE A,6
"HOMAR GARCIA, ROMAN","PETRARCA, ELIA",89,SD LA SALLE A,6
"FRANCO SINGEORZAN, ALEX","JIMENEZ JARAMILLO, KARLO ANDREU",46,PALMA F.C.,6
"SEGORBE GODOY, MARCOS","MORELL SACRISTÁN, CARLOS",62,PALMA F.C.,6
"PELLEGRINO, NICOLA EMANUELE","ROMERO ALASSIA, LUCAS T",72,PALMA F.C.,6
"MARCANO FLORIAN, SEBASTIAN JESUS","FERRA OSPINA, CARLES JOAN",82,PALMA F.C.,6
"BADICU, GEORGE","BESTARD SERVERA, MARCOS",82,PALMA F.C.,6
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",64,PENYA ARRABAL A,6
"ARALUCE SERRA, ADRIAN","ARIAS BESTARD, ENZO",64,PENYA ARRABAL A,6
"MAS MAIMO, JOSEP","BELFAQUIH ZBAT, ANUAR",72,PENYA ARRABAL A,6
"VAZQUEZ SUAREZ, HUGO","HERRERA IGLESIAS, ADRIAN",78,PENYA ARRABAL A,6
"OSUNA REINHARDT, HECTOR","VALLESPIR TIMONER, PERE MARC",78,PENYA ARRABAL A,6
"CORDOBA TUR, MARC","FERRER TORRES, PEDRO",46,PENYA INDEPENDENT A,6
"LOPEZ MARI, PABLO","EL HABBOULA EL KORTOBI, ABDELMOIZE",46,PENYA INDEPENDENT A,6
"BERNHARDT, JOEL PIOTR","ODERA PACILIO, SANTIAGO",62,PENYA INDEPENDENT A,6
"FERRER ROIG, JAUME","LLAMAS MARTINEZ, ERIC",67,PENYA INDEPENDENT A,6
"GRANDA VILLAVICENCIO, DAVID JOAN","CREUHERAS GARCIA, MATHEO",76,PENYA INDEPENDENT A,6
"JIMENA BELTRAN, CARLOS","GONZÁLEZ ONETO, ASSIER",61,POBLENSE A,6
"GIBSON, JASPER","ENSEÑAT RAMIS, MIQUEL",61,POBLENSE A,6
"THIAM BORRAS, KARIM","CAIMARI FIGUEROLA, JAUME",71,POBLENSE A,6
"MEFTAH ES SALEMY, BILAL","MORAGUES MORAGUES, JOAN",71,POBLENSE A,6
"AGUILERA PERELLO, ADRIÀ","RIERA MARTÍNEZ, FERRAN",78,POBLENSE A,6
"DEYÀ BELTRÁN, SEBASTIÀ","EZ ZARY SAIDI, ISMAEL",55,SANTA CATALINA ATº A,6
"MARTIN CABALLERO, ANGEL","SASTRE BOTA, JAUME",55,SANTA CATALINA ATº A,6
"LOMAS SERVERA, PAU","ADROVER MELIS, FRANCESC",66,SANTA CATALINA ATº A,6
"BARRIGA CATRINA, VICTOR","KOPACH, DANIIL",78,SANTA CATALINA ATº A,6
"ALARCON RAGO, THIAGO","MENDOZA SOLER, MARIO",78,SANTA CATALINA ATº A,6
"LUPIAÑEZ ALEMANY, TONI","DOBLAS TORRES, MIGUEL",59,ANDRATX A,6
"RIBOT FUSTER, MARIO","JIMENEZ PASTOR, IKER",59,ANDRATX A,6
"OPREA, ALESSIO MIHAI","ALMERING, BEPPE",72,ANDRATX A,6
"CASTELLO FERRA, JOAN","SANCHEZ JIMENEZ, FERNANDO",72,ANDRATX A,6
"ALARCON FERRER, ADRIAN","ROGEL ARRIAGA, BRYAN STALIN",85,ANDRATX A,6
"SEGURA QUETGLAS, PERE ANTONI","CABEZAS GALLARDO, MANUEL",68,CONSTANCIA A,6
"COLL AREVALO, JORDI","CHUKWUKERE PULLET, GREGORY IKECHUKWU",68,CONSTANCIA A,6
"KOUJILI EL TALHAOUI, MAROUAN","OLIVER GELABERT, PERE",78,CONSTANCIA A,6
"BALLE BRUNET, JOAN","FONTCUBERTA GALINDO, GABRIEL",78,CONSTANCIA A,6
"SABATER SANCHO, MARC","BLANCO WEBER, LUCA",85,CONSTANCIA A,6
"LOPEZ CAPACETE, KENAI","GARCIA ALBA, JAVIER",45,U D IBIZA A,6
"MARTIN LOPEZ, IKER","BERNASCONI, SANTINO",52,U D IBIZA A,6
"TORRES RIERA, LLUC","ELIAS ARANDIA, SAMUEL ABEL",58,U D IBIZA A,6
"MARTINEZ BERNABEU, PEDRO","RODRIGUEZ ROIG, ARIAN",58,U D IBIZA A,6
"CAMPS SEOANE, VICTOR","FLORIT ANGLADA, JOSEP",65,PENYA CIUTADELLA ESPORTIVA A,6
"TALTAVULL JUANEDA, JOAN","TRIAY SASTRE, ADRIA",80,PENYA CIUTADELLA ESPORTIVA A,6
"PALLICER AGUILO, XAVIER","RUS FERNANDEZ, IGNASI",80,PENYA CIUTADELLA ESPORTIVA A,6
"CAPO MORA, MARC","LOPEZ GONZALEZ, ALEJANDRO",89,PENYA CIUTADELLA ESPORTIVA A,6
"GARCIA LLOMPART, RAFEL","MOLINA DONAIRE, DANIEL",64,MALLORCA B,6
"MARTINEZ BELA, JAVIER","CORCINO MUÑOZ, ANDRES",64,MALLORCA B,6
"LAZARO TORRES, MARIO","VERD ALONSO, ABEL",75,MALLORCA B,6
"TEJADA LLADONET, ORIOL","AVILÉS MAESTRE, JOEL",75,MALLORCA B,6
"LOPEZ CABRERA, JESUS","RIBAS MUÑOZ, SERGI",37,SAN FRANCISCO B,6
"LUNEGRO, BRUNO","GIRALDE BAUZA, JAVIER",46,SAN FRANCISCO B,6
"CARDONA ALCANTARA, MARC","BORDOY LEAL, PEDRO",46,SAN FRANCISCO B,6
"MASSANET CABRER, FRANCESC","LLEDO SAMPOL, ADRIA",57,SAN FRANCISCO B,6
"ALARCON CAVERO, JOEL","SALAMANCA GALERA, AITOR",70,SAN FRANCISCO B,6
"KRZYZYK SERRANO, PEDRO","GOMEZ BLANCA, AARON",46,SP. ATº CIUTAT DE PALMA,6
"SARMIENTO CABAÑIN, GABRIEL A","SANS JIMENEZ, MIQUEL ANGEL",46,SP. ATº CIUTAT DE PALMA,6
"BARRY DIALLO, MAMADOU ALIOU","KEITA SIDIBE, MADY",70,SP. ATº CIUTAT DE PALMA,6
"ABRAHAM BOLAÑOS, ISAAC","PUJOL FONT, JAUME",70,SP. ATº CIUTAT DE PALMA,6
"BLANCO VALERO, DAVID","KRAUSSE, IGNACIO TOMAS",81,SP. ATº CIUTAT DE PALMA,6
"AIT SAID TAFZATI, NABIL","MORA GISPERT, HUGO",63,PLA DE NA TESA A,6
"CACERES COMAS, SERGI","MASCARÓ SERVERA, JUAN",63,PLA DE NA TESA A,6
"MONTALBAN ROMERO, MILO JERONIMO","ASAMOAH ASANTEWAA, DENIS",83,PLA DE NA TESA A,6
"NAVARRO BEZARES, JAVIER","FERNÁNDEZ RODRÍGUEZ, IKER",83,PLA DE NA TESA A,6
"ALONSO MUNICIO, PABLO","AIT SAID TAFZATI, NABIL",85,PLA DE NA TESA A,6
"MESTRE RIBOT, PAU","CORCHADO JIMENEZ, ISAAC",20,MANACOR A,6
"LAKHAL ZEROUALE, SAAD","GRAHAM, NATHAN STUART",20,MANACOR A,6
"POSTIGO GARAT, RAUL","TRIAY PETHERAM, TOMAS ISMAEL",79,MANACOR A,6
"RODRIGUEZ GALDON, DANIEL","SOLER CALDENTEY, JOEL",79,MANACOR A,6
"LAMSIAH AJGHOUF, OSSAMA","DIMITROV, DIMITAR DIMITROV",84,MANACOR A,6
"PUJOL ALOMAR, TELM","PEREZ SILVENTE, ALEJANDRO",67,PLATGES DE CALVIA A,6
"GAYUBAS GONZALEZ, LUIS MIGUEL","CASAUS SANCHEZ, JOSE IGNACIO",73,PLATGES DE CALVIA A,6
"FERRAGUT DIAZ, TONI","SANCHIS MARTINEZ, DAVID",84,PLATGES DE CALVIA A,6
"JANER BOSCH, NOFRE","PULIDO COLL, IZAN",52,FERRERIES A,7
"BOSCH PULIDO, NIL","GOMILA BOSCH, LLUÍS",52,FERRERIES A,7
"ROTGER LÓPEZ, LLUC","CANTALAPIEDRA LOBATO, IKER",52,FERRERIES A,7
"TRIAY HIERRO, TEO","MARIN HERNANDEZ, PAU",60,FERRERIES A,7
"DE HARO OLIVES, FRANCESC","FEBRER VILLALONGA, ALBERT",74,FERRERIES A,7
"MARTORELL MUDOY, JOAN","ROTTLANDER, LENNOX MARKUS",17,PENYA ARRABAL A,7
"ARALUCE SERRA, ADRIAN","VAZQUEZ SUAREZ, HUGO",45,PENYA ARRABAL A,7
"LEBRERO BENITEZ, HUGO","FIOL ACEITUNO, MIQUEL",45,PENYA ARRABAL A,7
"OSUNA REINHARDT, HECTOR","CRESPI BARRERA, LEONARDO",71,PENYA ARRABAL A,7
"VALLESPIR TIMONER, PERE MARC","SEGUI ESTEBAN, IAN",81,PENYA ARRABAL A,7
"JIMENEZ JARAMILLO, KARLO ANDREU","NDIR GUEYE, MOUHAMADOUL LAMIN",63,PALMA F.C.,7
"ORTEGA CASTILLA, HUGO","PELLEGRINO, NICOLA EMANUELE",69,PALMA F.C.,7
"PORCEL MARTINEZ, JORDI","MORELL SACRISTÁN, CARLOS",69,PALMA F.C.,7
"VICENS VIDAL, PAU","BADICU, GEORGE",69,PALMA F.C.,7
"BUENO BEDOLLA, BRIAN RYAN","FERRA OSPINA, CARLES JOAN",87,PALMA F.C.,7
"CORCINO MUÑOZ, ANDRES","LAZARO TORRES, MARIO",69,MALLORCA B,7
"TEJADA LLADONET, ORIOL","FRESNEDA HIDALGO, HUGO",69,MALLORCA B,7
"GARCIA LLOMPART, RAFEL","MOLINA DONAIRE, DANIEL",81,MALLORCA B,7
"D'VAZ AFONSO, SPENCER GARCIA","VAN DER MEER GARI, YANNICK",81,MALLORCA B,7
"FAQUINETTI VERGILIO, SAMUEL","FERRER TORRES, PEDRO",45,PENYA INDEPENDENT A,7
"LOPEZ MARI, PABLO","ODERA PACILIO, SANTIAGO",45,PENYA INDEPENDENT A,7
"AMASKOUT MANGAS, IMAD","MARTINEZ JUAN, MARTIN",55,PENYA INDEPENDENT A,7
"ARORA, VIRAJ","EL HABBOULA EL KORTOBI, ABDELMOIZE",62,PENYA INDEPENDENT A,7
"GRANDA VILLAVICENCIO, DAVID JOAN","VIERA GONZALEZ, SANTIAGO",85,PENYA INDEPENDENT A,7
"ARBOS DENGRA, DIEGO","GARCÍA GARCÍA, ÁLVARO",56,SD LA SALLE A,7
"SANCHEZ LAFUENTE, ARITZ","SALMERON SEGURA, JONATHAN",56,SD LA SALLE A,7
"FUSTER CORTES, FERNANDO","RODRIGUEZ MONGELOS, GAEL PAU",62,SD LA SALLE A,7
"AMAYA MALENO, FRANCISCO","PETRARCA, ELIA",62,SD LA SALLE A,7
"ESCUERO PARDOS, MARTI","MARTI RODRIGUEZ, IVAN",70,SD LA SALLE A,7
"MESQUIDA BAUZA, PAU","FUSTER LATORRE, DANIEL",20,SANTA CATALINA ATº A,7
"EZ ZARY SAIDI, ISMAEL","MASCARELL LLABRES, MARC",45,SANTA CATALINA ATº A,7
"DEYÀ BELTRÁN, SEBASTIÀ","BARRIGA CATRINA, VICTOR",45,SANTA CATALINA ATº A,7
"ALARCON RAGO, THIAGO","HASHIMOTO SEBASTIÁN, GAIZKA",60,SANTA CATALINA ATº A,7
"MENDOZA SOLER, MARIO","ADROVER MELIS, FRANCESC",71,SANTA CATALINA ATº A,7
"BARRY DIALLO, MAMADOU ALIOU","PUJOL FONT, JAUME",54,SP. ATº CIUTAT DE PALMA,7
"SANS JIMENEZ, MIQUEL ANGEL","AMENGUAL LIRIO, IVAN",54,SP. ATº CIUTAT DE PALMA,7
"CORTES MONTANER, LUIS","ABRAHAM BOLAÑOS, ISAAC",61,SP. ATº CIUTAT DE PALMA,7
"GOMEZ BLANCA, AARON","KRAUSSE, IGNACIO TOMAS",65,SP. ATº CIUTAT DE PALMA,7
"BLANCO VALERO, DAVID","SARMIENTO CABAÑIN, GABRIEL A",65,SP. ATº CIUTAT DE PALMA,7
"MORENO GODOY, NICOLAS","RIBAS ROSALIA, XAVIER",64,CONSTANCIA A,7
"BALLE BRUNET, JOAN","BOTELLO CARMONA, PAU",70,CONSTANCIA A,7
