jugador_entra,jugador_sale,Minuto,equipo,Jornada
"GARCÍA RODRÍGUEZ, UNAI","PARRA VIZUETE, DANIEL",80,PLATGES DE CALVIA A,1
"ALCOLEA ESCORCIA, CARLOS","PEREZ SILVENTE, ALEJANDRO",80,PLATGES DE CALVIA A,1
"PUYA TUR, OSCAR","MOYA PEDREGOSA, ALEJANDRO",45,SD LA SALLE A,1
"FUSTER CORTES, FERNANDO","SALMERON SEGURA, JONATHAN",45,SD LA SALLE A,1
"PETRARCA, ELIA","AMAYA MALENO, FRANCISCO",53,SD LA SALLE A,1
"MARCH MOLINA, MARCOS","VIZCAINO SEGURA, ALAN",58,SD LA SALLE A,1
"HOMAR GARCIA, ROMAN","VIVARES ARANDA, YANNICK",58,SD LA SALLE A,1
"LOPEZ FERNANDEZ, MARC","TEJEDOR MORENO, ALEJANDRO",54,UD MAHON,1
"DOS SANTOS SILVA, ALEXANDRE GUALBERTO","SINTES MELERO, ALVARO",73,UD MAHON,1
"FERNANDEZ ALONSO, ASIER","NGONG NGO, FABRICE",78,UD MAHON,1
"GOMEZ GORDILLO, RAUL","AMELLER ENRICH, LLORENÇ",78,UD MAHON,1
"JIMENEZ PASTOR, IKER","SANCHEZ JIMENEZ, FERNANDO",46,ANDRATX A,1
"ROGEL ARRIAGA, BRYAN STALIN","DOBLAS TORRES, MIGUEL",46,ANDRATX A,1
"AMER CASTILLO, MIGUEL","RIBOT FUSTER, MARIO",46,ANDRATX A,1
"CASTELLO FERRA, JOAN","VARGAS RODRIGUEZ, NICOLAS",46,ANDRATX A,1
"ALARCON FERRER, ADRIAN","PATRICIO TORRRENS, JUAN",68,ANDRATX A,1
"COMPANY INGLA, JAUME","BOTELLO CARMONA, PAU",46,CONSTANCIA A,1
"KOUJILI EL TALHAOUI, MAROUAN","CHUKWUKERE PULLET, GREGORY IKECHUKWU",46,CONSTANCIA A,1
"SABATER SANCHO, MARC","MAIRATA NOGUERA, ADRIA",46,CONSTANCIA A,1
"OLIVER GELABERT, PERE","BALLE BRUNET, JOAN",51,CONSTANCIA A,1
"MARTIN MONSALVE, IAN","CABEZAS GALLARDO, MANUEL",71,CONSTANCIA A,1
"CASTAÑER PECELLIN, RAFAEL","ARALUCE SERRA, ADRIAN",46,PENYA ARRABAL A,1
"LEBRERO BENITEZ, HUGO","SEGUI ESTEBAN, IAN",61,PENYA ARRABAL A,1
"PONS SERRANO, ALEIX","HERRERA IGLESIAS, ADRIAN",61,PENYA ARRABAL A,1
"VALLESPIR TIMONER, PERE MARC","CRESPI BARRERA, LEONARDO",79,PENYA ARRABAL A,1
"ROTTLANDER, LENNOX MARKUS","GARCIA HERNANDEZ, JOSE RAMON",94,PENYA ARRABAL A,1
"TALTAVULL VALVERDE, IAN","CAPO MORA, MARC",16,PENYA CIUTADELLA ESPORTIVA A,1
"FEDELICH MARQUES, JAN","MARQUES BAGUR, JOAN",64,PENYA CIUTADELLA ESPORTIVA A,1
"LEON JUAN, VICTOR","JUANEDA JUANEDA, JOSEP",64,PENYA CIUTADELLA ESPORTIVA A,1
"CAMPS SEOANE, VICTOR","PONS MOLL, FRANCESC",74,PENYA CIUTADELLA ESPORTIVA A,1
"PALLICER AGUILO, XAVIER","TRIAY SASTRE, ADRIA",74,PENYA CIUTADELLA ESPORTIVA A,1
"VAN DER MEER GARI, YANNICK","VERD ALONSO, ABEL",46,MALLORCA B,1
"CORCINO MUÑOZ, ANDRES","LAZARO TORRES, MARIO",67,MALLORCA B,1
"GARCIA LLOMPART, RAFEL","MOLINA DONAIRE, DANIEL",67,MALLORCA B,1
"FRESNEDA HIDALGO, HUGO","TEJADA LLADONET, ORIOL",74,MALLORCA B,1
"COCA ANTELO, ANDREW","HORRACH LLABRES, GERARDO",81,MALLORCA B,1
"MARTINEZ ABELLAN, IKER","ARCOS MUÑOZ, IKER",62,MANACOR A,1
"TRIAY PETHERAM, TOMAS ISMAEL","LAKHAL ZEROUALE, SAAD",62,MANACOR A,1
"RODRIGUEZ LOPEZ, RAUL","LAMSIAH AJGHOUF, OSSAMA",78,MANACOR A,1
"BARCELO PALMER, JUAN","CORCHADO JIMENEZ, ISAAC",78,MANACOR A,1
"MONTES CARDONA, CHRISTIAN","MARCOS MONGE, IKER",86,MANACOR A,1
"SARMIENTO CABAÑIN, GABRIEL A","AQUINO GUTIERREZ, DAN JOEL",43,SP. ATº CIUTAT DE PALMA,1
"PUJOL FONT, JAUME","BARRY DIALLO, MAMADOU ALIOU",45,SP. ATº CIUTAT DE PALMA,1
"KEITA SIDIBE, MADY","MARTINEZ GOMEZ, DYLAN",78,SP. ATº CIUTAT DE PALMA,1
"GOMEZ BARBOSA, RICARDO ADRIAN","ABRAHAM BOLAÑOS, ISAAC",78,SP. ATº CIUTAT DE PALMA,1
"AMENGUAL LIRIO, IVAN","KRAUSSE, IGNACIO TOMAS",86,SP. ATº CIUTAT DE PALMA,1
"BADICU, GEORGE","ALCALDE ORTEGA, JUAN JOSÉ",30,PALMA F.C.,2
"PORCEL MARTINEZ, JORDI","ALLENDES SEPULVEDA, MARTIN ALONSO",63,PALMA F.C.,2
"JIMENEZ JARAMILLO, KARLO ANDREU","VILLALONGA GÓMEZ, IKER",63,PALMA F.C.,2
"FERRA OSPINA, CARLES JOAN","NDIR GUEYE, MOUHAMADOUL LAMIN",69,PALMA F.C.,2
"SEGORBE GODOY, MARCOS","SAMPOL MARTINEZ, MARC",69,PALMA F.C.,2
"MASCARO MARTINEZ, IKER","ESPINOZA ARMIJOS, CARLOS ANDRES",63,UD MAHON,2
"GRUBAC, NOA","TEJEDOR MORENO, ALEJANDRO",63,UD MAHON,2
"LOPEZ FERNANDEZ, MARC","SINTES MELERO, ALVARO",70,UD MAHON,2
"CANTALAPIEDRA LOBATO, IKER","DE HARO OLIVES, FRANCESC",45,FERRERIES A,2
"ROTGER LÓPEZ, LLUC","JANER BOSCH, NOFRE",78,FERRERIES A,2
"BOSCH VALDERRABANO, TONI","GOMILA BOSCH, LLUÍS",85,FERRERIES A,2
"EZ ZARY SAIDI, ISMAEL","SASTRE BOTA, JAUME",45,SANTA CATALINA ATº A,2
"NAVARRO BEZARES, JAVIER","DEYÀ BELTRÁN, SEBASTIÀ",56,SANTA CATALINA ATº A,2
