jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
19,UD MAHON,PALMA F.C.,670677.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670677&cod_acta=670677,Si
19,"SAN FRANCISCO ""B""","PENYA INDEPENDENT ""A""",670678.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670678&cod_acta=670678,Si
19,"SANTA CATALINA ATº ""A""","FERRERIES ""A""",670679.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670679&cod_acta=670679,Si
19,"PLA DE NA TESA ""A""","PENYA ARRABAL ""A""",670680.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670680&cod_acta=670680,Si
19,"CONSTANCIA ""A""","SD LA SALLE ""A""",670681.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670681&cod_acta=670681,Si
19,"PLATGES DE CALVIA ""A""","MALLORCA ""B""",670682.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670682&cod_acta=670682,Si
19,"PENYA CIUTADELLA ESPORTIVA ""A""","POBLENSE ""A""",670683.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670683&cod_acta=670683,Si
19,"U D IBIZA ""A""",SP. ATº CIUTAT DE PALMA,670684.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670684&cod_acta=670684,Si
19,"ANDRATX ""A""","MANACOR ""A""",670532.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670532&cod_acta=670532,Si
2,PALMA F.C.,UD MAHON,670524.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670524&cod_acta=670524,Si
2,"PENYA INDEPENDENT ""A""","SAN FRANCISCO ""B""",670525.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670525&cod_acta=670525,Si
2,"FERRERIES ""A""","SANTA CATALINA ATº ""A""",670526.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670526&cod_acta=670526,Si
2,"PENYA ARRABAL ""A""","PLA DE NA TESA ""A""",670527.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670527&cod_acta=670527,Si
2,"SD LA SALLE ""A""","CONSTANCIA ""A""",670528.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670528&cod_acta=670528,Si
