cod_temporada,cod_competicion,cod_grupo,jornada,equipo_local,equipo_visitante,cod_acta,link_acta,acta_extraida
20,7077248,7077249,9,UD MAHON,"PLATGES DE CALVIA ""A""",670595.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670595&cod_acta=670595,Si
20,7077248,7077249,10,"SD LA SALLE ""A""",UD MAHON,718231.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=718231&cod_acta=718231,Si
20,7077248,7077249,10,"MALLORCA ""B""","PENYA ARRABAL ""A""",720697.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=720697&cod_acta=720697,Si
20,7077248,7077249,10,"POBLENSE ""A""","FERRERIES ""A""",720689.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=720689&cod_acta=720689,Si
20,7077248,7077249,10,SP. ATº CIUTAT DE PALMA,"PENYA INDEPENDENT ""A""",722795.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=722795&cod_acta=722795,Si
20,7077248,7077249,10,"ANDRATX ""A""",PALMA F.C.,670600.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670600&cod_acta=670600,Si
20,7077248,7077249,10,"MANACOR ""A""","SAN FRANCISCO ""B""",720698.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=720698&cod_acta=720698,Si
20,7077248,7077249,10,"U D IBIZA ""A""","SANTA CATALINA ATº ""A""",718212.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=718212&cod_acta=718212,Si
20,7077248,7077249,10,"PENYA CIUTADELLA ESPORTIVA ""A""","PLA DE NA TESA ""A""",718163.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=718163&cod_acta=718163,Si
20,7077248,7077249,10,"PLATGES DE CALVIA ""A""","CONSTANCIA ""A""",670604.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670604&cod_acta=670604,Si
20,7077248,7077249,11,"SD LA SALLE ""A""","MALLORCA ""B""",670605.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670605&cod_acta=670605,Si
20,7077248,7077249,11,"PENYA ARRABAL ""A""","POBLENSE ""A""",670606.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670606&cod_acta=670606,Si
20,7077248,7077249,11,"FERRERIES ""A""",SP. ATº CIUTAT DE PALMA,670607.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670607&cod_acta=670607,Si
20,7077248,7077249,11,"PENYA INDEPENDENT ""A""","ANDRATX ""A""",670608.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670608&cod_acta=670608,Si
20,7077248,7077249,11,PALMA F.C.,"MANACOR ""A""",670609.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670609&cod_acta=670609,Si
20,7077248,7077249,11,"SAN FRANCISCO ""B""","U D IBIZA ""A""",670610.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670610&cod_acta=670610,Si
20,7077248,7077249,11,"SANTA CATALINA ATº ""A""","PENYA CIUTADELLA ESPORTIVA ""A""",670611.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670611&cod_acta=670611,Si
20,7077248,7077249,11,"PLA DE NA TESA ""A""","PLATGES DE CALVIA ""A""",670612.0,https://www.ffib.es/Fed/NPcd/NFG_CmpPartido?cod_primaria=1000110&CodActa=670612&cod_acta=670612,Si
